t [s],tt [s],Step_Index,Cycle_Index,I [A],V [V],cap_charge [Ahr],cap_discharge [Ahr]
1661.07712,1601.075465,2,1,1.000014305,3.684694529,0.444692437,0
1671.08193,1611.080275,2,1,1.000014305,3.685342073,0.447471241,0
1681.086712,1621.085057,2,1,0.999653101,3.685665846,0.450249835,0
1691.096349,1631.094694,2,1,0.999653101,3.686151505,0.45302963,0
1701.100153,1641.098498,2,1,0.999833703,3.686637163,0.455807851,0
1711.103953,1651.102298,2,1,1.000014305,3.686960936,0.458586056,0
1721.114617,1661.112962,2,1,0.999833703,3.687284708,0.461366163,0
1731.120328,1671.118674,2,1,0.999653101,3.68760848,0.464144929,0
1741.124158,1681.122503,2,1,0.999653101,3.688094139,0.466923132,0
1751.133794,1691.132139,2,1,0.999653101,3.688417912,0.469702943,0
1761.138549,1701.136895,2,1,0.999833703,3.688741684,0.472481399,0
1771.143345,1711.14169,2,1,0.999833703,3.689065456,0.475259858,0
1781.153036,1721.151381,2,1,0.999833703,3.689713001,0.478039702,0
1791.156821,1731.155166,2,1,0.999653101,3.689874887,0.4808179,0
1801.161565,1741.15991,2,1,0.999653101,3.69019866,0.483596344,0
1811.173196,1751.171541,2,1,0.999653101,3.690684319,0.486376708,0
1821.178017,1761.176362,2,1,0.999833703,3.691169977,0.489155172,0
1831.182754,1771.181099,2,1,0.999833703,3.69149375,0.4919336,0
1841.192431,1781.190776,2,1,0.999653101,3.691655636,0.494713384,0
1851.199121,1791.197466,2,1,0.999653101,3.692141294,0.497492396,0
1861.202944,1801.201289,2,1,0.999833703,3.692465067,0.500270588,0
1871.214511,1811.212856,2,1,0.999653101,3.692788839,0.503050904,0
1881.218339,1821.216684,2,1,0.999653101,3.693274498,0.505829084,0
1891.222126,1831.220471,2,1,0.999833703,3.693760157,0.508607259,0
1901.231831,1841.230176,2,1,0.999653101,3.693922043,0.511387106,0
1911.236557,1851.234902,2,1,0.999833703,3.694407701,0.514165573,0
1921.240299,1861.238644,2,1,0.999833703,3.694731474,0.516943761,0
